Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
106600,1,1/1/2022 0:20,2,1464,<python><keras><tensorflow><regression>,1,
106602,1,1/1/2022 3:32,3,126,<deep-learning><word-embeddings><deepmind>,1,
106603,1,1/1/2022 6:18,0,36,<logistic-regression><sigmoid>,1,
106607,1,1/1/2022 15:07,1,21,<machine-learning><python><pandas><statistics><class-imbalance>,0,
106609,1,1/1/2022 15:40,0,27,<nlp><data-science-model><bert>,0,
106613,1,1/1/2022 19:14,0,89,<class-imbalance><pipelines><imbalanced-learn><methodology><oversampling>,1,
106614,1,1/1/2022 19:45,0,34,<decision-trees>,0,
106615,1,1/1/2022 19:46,2,179,<machine-learning><python><deep-learning><machine-learning-model><azure-ml>,2,
106616,1,1/1/2022 20:35,1,35,<normalization><k-nn>,1,
106618,1,1/1/2022 23:05,1,35,<deep-learning><neural-network><backpropagation>,0,
106621,1,1/2/2022 2:05,0,97,<neural-network><keras><tensorflow>,0,
106626,1,1/2/2022 12:48,0,246,<machine-learning><python><classification><cross-validation><pipelines>,1,
106627,1,1/2/2022 12:56,6,55,<scikit-learn><svm>,1,
106629,1,1/2/2022 15:45,0,278,<deep-learning><neural-network><keras><preprocessing><tokenization>,2,
106631,1,1/2/2022 16:06,0,49,<machine-learning><data-cleaning><bias>,1,
106634,1,1/2/2022 18:50,0,244,<machine-learning><deep-learning><classification><nlp>,1,
106642,1,1/2/2022 22:22,1,125,<machine-learning><classification><class-imbalance>,1,
106644,1,1/3/2022 3:21,0,2863,<machine-learning><deep-learning><transfer-learning>,1,
106645,1,1/3/2022 4:18,1,1143,<logistic-regression><gradient-descent>,2,
106650,1,1/3/2022 9:01,0,397,<machine-learning><deep-learning><neural-network><inception><pooling>,1,
106652,1,1/3/2022 9:16,0,36,<regression><anomaly-detection><outlier><anomaly>,1,
106658,1,1/3/2022 14:16,0,1099,<machine-learning><scikit-learn><data-science-model><numpy>,1,
106664,1,1/3/2022 17:29,2,22,<nlp><word2vec><bert>,0,
106666,1,1/3/2022 18:37,1,45,<machine-learning><predictive-modeling><data-science-model><sports>,1,
106667,1,1/3/2022 21:46,2,23,<machine-learning>,0,
106669,1,1/3/2022 23:35,1,187,<machine-learning><python><tensorflow><computer-vision><data-science-model>,0,
106670,1,1/4/2022 0:24,1,20,<python><preprocessing><normalization>,0,
106673,1,1/4/2022 2:23,1,61,<python><preprocessing><one-hot-encoding><ensemble-learning>,0,
106676,1,1/4/2022 5:03,0,184,<deep-learning><computer-vision><object-detection><3d-object-detection>,0,
106679,1,1/4/2022 7:51,0,45,<data-cleaning>,1,
106680,1,1/4/2022 8:05,1,98,<r><data><data-cleaning><data-analysis>,1,
106681,1,1/4/2022 8:20,0,25,<anomaly-detection><anomaly>,0,
106682,1,1/4/2022 8:35,1,28,<machine-learning><statistics><reinforcement-learning>,0,
106684,1,1/4/2022 9:43,0,29,<regression><statistics><random-forest><optimization><sampling>,1,
106691,1,1/4/2022 13:02,0,21,<r>,1,
106696,1,1/4/2022 15:51,0,99,<categorical-data><correlation>,1,
106700,1,1/4/2022 16:18,1,45,<linear-algebra>,0,
106702,1,1/4/2022 16:38,3,40,<machine-learning><overfitting><regularization>,1,
106703,1,1/4/2022 15:46,1,1014,<python>,1,
106709,1,1/4/2022 20:35,1,224,<apache-spark><scala>,1,
106713,1,1/4/2022 22:43,2,328,<scikit-learn><random-forest><weka>,2,
106714,1,1/5/2022 0:36,2,96,<machine-learning><python><tensorflow><preprocessing><mlops>,1,
106716,1,1/5/2022 1:25,1,17,<visualization><feature-engineering><kaggle><seaborn>,1,
106720,1,1/5/2022 4:22,0,78,<linear-regression><xgboost><binary-classification>,1,
106722,1,1/5/2022 8:13,0,16,<neural-network><computer-vision>,1,
106723,1,1/5/2022 8:38,0,74,<classification><scikit-learn><time-series><supervised-learning><binary-classification>,1,
106726,1,1/5/2022 10:28,0,1600,<deep-learning><keras>,1,
106730,1,1/5/2022 10:53,2,38,<machine-learning><deep-learning><classification><convolutional-neural-network>,0,
106733,1,1/5/2022 13:26,0,97,<machine-learning><image-classification><image-recognition>,1,
106738,1,1/5/2022 14:49,0,19,<r><plotting>,1,
106739,1,1/5/2022 15:24,0,22,<pca><dimensionality-reduction>,0,
106743,1,1/5/2022 16:24,0,23,<classification><metric>,1,
106745,1,1/5/2022 16:50,0,235,<machine-learning><pandas><aws><sagemaker>,1,
106747,1,1/5/2022 17:26,1,493,<python><deep-learning><data-science-model>,1,
