Id,PostTypeId,PostType,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
117435,1,Question,1/1/2023 3:32,0,48,<nlp><feature-selection><feature-engineering><feature-extraction>,1,
117436,1,Question,1/1/2023 11:42,0,75,<deep-learning><time-series><convolutional-neural-network><transformer>,1,
117437,2,Answer,1/1/2023 12:04,0,,,,
117438,2,Answer,1/1/2023 12:33,0,,,,
117439,1,Question,1/1/2023 12:54,0,2051,<neural-network><keras><tensorflow><convolutional-neural-network><error-handling>,0,
117442,2,Answer,1/1/2023 17:26,0,,,,
117444,1,Question,1/2/2023 1:14,6,5805,<nlp><gpu><language-model><memory>,1,
117445,2,Answer,1/2/2023 1:56,0,,,,
117447,1,Question,1/2/2023 5:52,1,74,<python><pytorch><computer-vision><torchvision>,1,
117448,1,Question,1/2/2023 8:59,0,30,<missing-data>,1,
117450,2,Answer,1/2/2023 10:50,0,,,,
117451,2,Answer,1/2/2023 11:01,1,,,,
117453,2,Answer,1/2/2023 12:04,0,,,,
117454,1,Question,1/2/2023 12:18,1,29,<python><convolutional-neural-network><autoencoder><csv><image>,0,
117456,1,Question,1/2/2023 13:23,0,364,<python><keras><lstm><multiclass-classification><text-classification>,1,
117458,1,Question,1/2/2023 19:45,0,88,<nlp><transformer><sentiment-analysis>,1,
117459,2,Answer,1/3/2023 2:16,0,,,,
117462,2,Answer,1/3/2023 7:04,0,,,,
117464,2,Answer,1/3/2023 7:46,1,,,,
117465,1,Question,1/3/2023 10:15,0,78,<keras><tensorflow>,1,
117467,1,Question,1/3/2023 11:42,0,48,<machine-learning><logistic-regression><svm><linear-models>,1,
117468,1,Question,1/3/2023 12:02,0,47,<pca><implementation>,1,
117470,2,Answer,1/3/2023 12:48,1,,,,
117472,1,Question,1/3/2023 14:03,1,255,<python><nlp><gpt>,1,
117474,2,Answer,1/3/2023 14:45,0,,,,
117476,1,Question,1/3/2023 15:21,1,77,<machine-learning><time-series><regression><data-mining><predictive-modeling>,1,
117478,2,Answer,1/3/2023 16:20,2,,,,
117480,2,Answer,1/3/2023 16:47,0,,,,
117483,2,Answer,1/3/2023 20:08,1,,,,
117484,2,Answer,1/3/2023 21:28,2,,,,
117487,2,Answer,1/3/2023 22:40,0,,,,
117489,1,Question,1/4/2023 0:58,0,161,<training><sagemaker>,1,
117491,1,Question,1/4/2023 2:16,1,232,<machine-learning><deep-learning><nlp><gpt>,1,
117492,1,Question,1/4/2023 2:21,1,39,<machine-learning><deep-learning><classification>,1,
117495,1,Question,1/4/2023 3:36,1,328,<model-selection>,1,
117496,2,Answer,1/4/2023 4:47,1,,,,
117497,2,Answer,1/4/2023 4:59,0,,,,
117498,1,Question,1/4/2023 7:27,0,17,<time-series>,1,
117499,1,Question,1/4/2023 7:53,0,35,<machine-learning><python><keras><tensorflow>,1,
117502,2,Answer,1/4/2023 9:17,2,,,,
117503,2,Answer,1/4/2023 9:21,2,,,,
117505,1,Question,1/4/2023 10:38,1,398,<python><tensorflow><cnn><random-forest><vgg16>,1,
117506,2,Answer,1/4/2023 10:41,0,,,,
117509,2,Answer,1/4/2023 14:20,2,,,,
117511,1,Question,1/4/2023 14:29,0,28,<machine-learning><r><research><aws><cloud-computing>,1,
117512,1,Question,1/4/2023 14:41,0,500,<neural-network><classification><pytorch>,0,
117513,1,Question,1/4/2023 14:56,0,45,<python><image-classification><training><pytorch><image-recognition>,1,
117514,1,Question,1/4/2023 15:29,0,56,<machine-learning><forecasting><arima>,0,
117515,1,Question,1/4/2023 15:29,0,24,<random-forest><xgboost><multiclass-classification><categorical-encoding><target-encoding>,0,
117516,1,Question,1/4/2023 15:29,2,240,<machine-learning><classification><feature-engineering><data-stream-mining><concept-drift>,1,
117518,2,Answer,1/4/2023 16:59,1,,,,
117519,2,Answer,1/4/2023 18:00,0,,,,
117521,2,Answer,1/4/2023 18:15,1,,,,
117522,2,Answer,1/4/2023 18:54,1,,,,
117524,1,Question,1/4/2023 20:20,0,46,<machine-learning><mathematics><books>,1,
117525,2,Answer,1/4/2023 21:35,2,,,,
117526,1,Question,1/5/2023 0:54,1,197,<nlp><computer-vision><language-model>,0,
117530,1,Question,1/5/2023 7:26,0,256,<dataset><data-cleaning><data-science-model>,0,
