ID,PostTypeId,CreationDate,Title,Tags,Score,ViewCount,AnswerCount,FavoriteCount
"106600","1","2022-01-01 00:20:53","How to perform regression on image data using Tensorflow?","<python><keras><tensorflow><regression>","3","1535","1",""
"106602","1","2022-01-01 03:32:55","Question on embedding similarity / nearest neighbor methods [SCANN Paper]","<deep-learning><word-embeddings><deepmind>","3","126","1",""
"106603","1","2022-01-01 06:18:52","Logistic Regression mapping formula","<logistic-regression><sigmoid>","0","37","1",""
"106607","1","2022-01-01 15:07:25","Handling imbalanced Feature (X) not lavbel (Y) in machine learning","<machine-learning><python><pandas><statistics><class-imbalance>","1","21","0",""
"106609","1","2022-01-01 15:40:23","One class classifier for fraud call detection ( in Hindi language) using BERT","<nlp><data-science-model><bert>","0","27","0",""
"106613","1","2022-01-01 19:14:59","Explaining the logic behind the pipe_line method for cross-validation of imbalance datasets","<class-imbalance><pipelines><imbalanced-learn><methodology><oversampling>","0","92","1",""
"106614","1","2022-01-01 19:45:24","Where can I find the original CART(classification and regression trees) published paper?","<decision-trees>","0","34","0",""
"106615","1","2022-01-01 19:46:13","Estimating the uncertainty of regression models","<machine-learning><python><deep-learning><machine-learning-model><azure-ml>","2","186","2",""
"106616","1","2022-01-01 20:35:57","Why feature normalization can increase the biometric recognition accuracy?","<normalization><k-nn>","1","35","1",""
"106618","1","2022-01-01 23:05:11","Is my calculation of the partial derivative of the cost function with respect to a single weight in the first layer correct?","<deep-learning><neural-network><backpropagation>","1","36","0",""
"106621","1","2022-01-02 02:05:58","What is leaking rate?","<neural-network><keras><tensorflow>","0","101","0",""
"106626","1","2022-01-02 12:48:33","Custom vectorizer transformer in sklearn with cross validation","<machine-learning><python><classification><cross-validation><pipelines>","0","250","1",""
"106627","1","2022-01-02 12:56:54","How sklearn SVM find the initial hyperplane before Optimisation?","<scikit-learn><svm>","6","56","1",""
"106629","1","2022-01-02 15:45:13","How does Keras Tokenizer choose tokens given a sentence?","<deep-learning><neural-network><keras><preprocessing><tokenization>","0","285","2",""
"106631","1","2022-01-02 16:06:30","Data snooping and information leakage?","<machine-learning><data-cleaning><bias>","0","49","1",""
"106634","1","2022-01-02 18:50:04","What are popular deep learning models for tabular data of texts?","<machine-learning><deep-learning><classification><nlp>","0","249","1",""
"106642","1","2022-01-02 22:22:46","Improving Performance of Machine Learning for A Small Imbalanced Dataset","<machine-learning><classification><class-imbalance>","1","132","1",""
"106644","1","2022-01-03 03:21:51","No module named 'model'","<machine-learning><deep-learning><transfer-learning>","0","2892","1",""
"106645","1","2022-01-03 04:18:20","Relation between MLE (Maximum Likelihood Estimation) & Gradient Descent","<logistic-regression><gradient-descent>","1","1164","2",""
"106650","1","2022-01-03 09:01:37","Number of input and output channels of MAX POOL layer","<machine-learning><deep-learning><neural-network><inception><pooling>","0","409","1",""
"106652","1","2022-01-03 09:16:31","Assign a risk score in records in a dataset","<regression><anomaly-detection><outlier><anomaly>","0","36","1",""
"106658","1","2022-01-03 14:16:54","ValueError: Found input variables with inconsistent numbers of samples: [6, 366]","<machine-learning><scikit-learn><data-science-model><numpy>","0","1105","1",""
"106664","1","2022-01-03 17:29:13","Comparing the cosine similarities of the same word representations, from two separate models (vector spaces)","<nlp><word2vec><bert>","2","23","0",""
"106666","1","2022-01-03 18:37:39","Machine Learning on Small Dataset with Huge Variation","<machine-learning><predictive-modeling><data-science-model><sports>","1","45","1",""
"106667","1","2022-01-03 21:46:20","Extract title from torrent name","<machine-learning>","2","23","0",""
"106669","1","2022-01-03 23:35:01","Error parsing message with type 'tensorflow.SavedModel'","<machine-learning><python><tensorflow><computer-vision><data-science-model>","1","190","0",""
"106670","1","2022-01-04 00:24:48","How to convert varians of a character to the same character in python?","<python><preprocessing><normalization>","1","20","0",""
